"x_1";"x_2";"x_3";"x_4";"x_5";"x_6";"x_7";"x_8";"x_9";"x_10";"x_11";"x_12";"x_13";"x_14";"x_15";"x_16";"x_17";"x_18";"x_19";"x_20";"x_21";"x_22";"x_23";"x_24";"x_25";"x_26";"x_27";"x_28";"x_29";"x_30";"fitness"
-2.1;-3.82;1.79;3.37;1.9;2.83;-1.83;1.13;1.57;-1.6;2.67;1.49;4.49;2.53;3.62;1.26;-2.55;4.22;4.59;-0.87;-0.91;-4.97;2.53;3.84;-4.9;3.48;-2.12;-3.15;4.81;-5.11;597.838843923623
2.82;1.69;1.59;-0.0700000000000003;1.61;-3.15;4.41;-3.08;4.38;0.41;-4.67;5.02;-1.44;3.47;-2.68;4.59;1.79;-3.54;0.34;-5.04;-3.25;4.9;-2.5;-4.26;-4.34;3.06;4.66;-1.92;-3.99;-1.99;658.103092496296
2.88;-3.22;-4.03;-0.31;-1.64;2.46;-0.76;0.69;-1.92;-1.74;2.89;-3.01;0.92;1.25;2.13;2.87;4.55;3.12;1.57;-1.99;0.49;-4.37;-3.69;-4.78;1.46;2.45;5.04;4.96;-1.6;4.44;549.846336411588
4.11;-3.24;3.89;-0.51;4.1;-0.38;-3.29;4.47;4.76;3.25;-2.8;4.29;5;-0.29;1.61;3.38;-3.28;-2.43;2.62;-0.91;4.88;-2.07;-0.55;3;2.26;3.2;-4.68;1.53;-1.32;-4.57;642.649389417681
-4.23;-2.89;-3.09;0.96;1.32;-0.5;3.6;-2.78;-1.61;1.89;4.18;4.91;2.42;3.2;3.75;1.58;-3.34;3.37;4.72;-1.15;-3.07;-2.72;2.49;-0.48;1.94;1.01;1.25;-1.36;-3.59;-0.39;549.691441558026
3.27;1.1;4.68;2.68;-3.71;0.93;1.62;-4.34;2.26;4.97;-3.41;0.16;-1.73;2.83;1.22;-1.67;3.29;-4.35;4.7;2.19;-4.73;-0.14;-1.09;-0.0700000000000003;-0.4;2.12;2.26;-4.76;0.71;-4.13;546.654823929058
4.73;0.0199999999999996;-4.37;4.81;1.91;0.41;3.62;-3.34;-4.87;0.52;2.96;1.48;-1.87;3.76;-4.75;4.39;-3.96;2.94;2.71;4.58;2.22;-1.75;-2.33;0.92;1.3;-4.51;1.45;-0.59;0.23;-2.49;621.62185519912
4.95;3.34;2.73;3.65;-2.04;0.44;-2.71;-0.74;2.32;-4.16;4.63;5.05;-1.31;-0.4;-2.63;-4.05;-2.45;2.15;-2.95;-0.32;-1.94;-0.93;1.05;3.64;-4;-3.1;-0.24;1.92;3.54;-0.55;523.761111767547
1.22;-2.26;1.61;-0.84;-0.53;5.11;-2.64;0.46;-2.61;3.32;2.73;2.97;-2.29;2.38;-3.05;-3.05;-1.78;-2.27;-0.25;3.35;-1.81;4.53;-2.61;-1.35;3.87;4.56;-3.95;0.23;-1.69;-3.49;569.349200863394
-3.09;3.91;-1.25;2.29;4.07;0.0899999999999999;-2.83;-4.94;0.34;-2.66;0.28;-3.03;2.33;4.81;4.95;0.0599999999999996;4.07;-3.3;0.0999999999999996;4.6;-1.5;0.97;-4.54;-2.5;5.05;4.73;-2.05;-4.66;4.76;-3.55;587.347815162792
-0.66;0.0800000000000001;1.12;-4.97;5.02;2;-2.69;0.37;1.85;2.8;-1.94;-3.81;-3.07;-2.18;1.44;4.5;2.09;0.55;-3.6;4.51;-1.58;-4.51;1.16;-0.56;-2.26;-0.51;-1.29;-3.84;-0.65;0.28;525.200403707001
2.27;4.55;-0.0700000000000003;0.78;4.83;-2.49;-4.54;-1.99;-1.01;0.83;-3.29;-1.83;-4.18;3.66;-1.66;5.04;2.98;-3.61;3.99;1.92;3.32;3.08;1.31;0.04;-3.58;1.49;-1.86;4.89;3.58;0.49;550.979465381183
-1.31;-2.37;2.48;-1.05;4.11;-5.08;-3.86;-4.23;-0.2;4.93;1.66;-0.14;0.36;3.69;3.93;4.07;-2.91;4.52;0.83;-1.51;-4.64;-1.03;-2.78;3.69;4.68;4.93;4.55;4.75;3.42;2.27;630.458543696511
3.71;-0.81;-3.6;3.23;1.3;-3.1;3.91;4.68;0.8;0.49;-1.66;3.08;-2.75;-4.89;1.98;-0.6;-2.68;-2.82;1.56;0.9;0.99;-0.0800000000000001;2.7;-5.05;-4.83;-0.19;-4.32;-3.59;-3.75;-2.08;522.531782319848
4.54;-2.05;-1.85;4.39;-1.44;3.82;-3.74;0.8;2.53;1.77;3.54;-3.52;2.36;-2.78;-1.56;-5;4.6;-2.16;4.81;0.31;-2.68;2.7;-4.11;-2.93;-1.54;-2.89;-3.41;-3.68;-1.82;-0.89;615.595871866263
-4.82;0.75;4.04;0.25;4.59;1.85;-3.51;4.42;4.85;4.67;-4.07;0.8;-3.24;-0.28;1.48;3.28;-1.8;-2.12;-1.87;-1.9;1.8;-3.1;0.0700000000000003;-0.37;1.68;2.8;2.28;4.44;0.92;-1.65;527.526198274384
-1.85;-4.42;-4.77;-3.08;2.4;0.0999999999999996;1.24;-4.32;-2.45;3.83;0.14;-4.91;-4.88;1.87;-1.95;-4.56;3.23;1.41;-4.42;-4.74;-3.22;-3.8;1.93;-1.26;4.45;-0.65;2.64;4.54;-2.29;-0.0199999999999996;614.708366042935
